Name,Fulladdress,status,Categories,phone,Review Count,Place Id,Average Rating,Reviews,Google Maps URL,Latitude,Longitude,Website,Open Now,Opening Hours,logo,catalog
Khatoon Restaurant Al Taweela ???? ????? - ??? ???????,Abu Dhabi - Al Taweelah - Next To Khalifa Port - Fishermen Port - Bldg. No 2 - ????? - ??? ??? - United Arab Emirates,OPERATIONAL,restaurant,+971 600 543339,5,ChIJEx_P70b5Xj4REbHS28XNqb4,4,https://search.google.com/local/reviews?placeid=ChIJEx_P70b5Xj4REbHS28XNqb4,https://maps.google.com/?cid=13738738387950678289,24.7855946,54.6935064,https://khatoon-restaurant.business.site/?utm_source=gmb&utm_medium=referral,TRUE,"['Monday: 9:00AM-11:00PM', 'Tuesday: 9:00AM-11:00PM', 'Wednesday: 9:00AM-11:00PM', 'Thursday: 9:00AM-11:00PM', 'Friday: 9:00AM-11:00PM', 'Saturday: 9:00AM-11:00PM', 'Sunday: 9:00AM-11:00PM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225952_9.jpg']]"
Ghantoot Royal Restaurant,Sheikh Mohammed Bin Rashis Road - Ghantout - Abu Dhabi - United Arab Emirates,OPERATIONAL,restaurant,+971 2 562 9791,5,ChIJ859cozYEXz4RIt-CZ3KJsfc,3.8,https://search.google.com/local/reviews?placeid=ChIJ859cozYEXz4RIt-CZ3KJsfc,https://maps.google.com/?cid=17848197922701893410,24.8677253,54.9110221,,TRUE,"['Monday: 5:00AM-2:00AM', 'Tuesday: 5:00AM-2:00AM', 'Wednesday: 5:00AM-2:00AM', 'Thursday: 5:00AM-2:00AM', 'Friday: 5:00AM-2:00AM', 'Saturday: 5:00AM-2:00AM', 'Sunday: 5:00AM-2:00AM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03225958_9.jpg']]"
Najmat Al Seeh Restaurant,VWRP+XC3 - Ghantout - Abu Dhabi - United Arab Emirates,OPERATIONAL,restaurant,+971 2 562 9019,5,ChIJbwuIraMFXz4RhErzrobHoYY,3.8,https://search.google.com/local/reviews?placeid=ChIJbwuIraMFXz4RhErzrobHoYY,https://maps.google.com/?cid=9701254453607484036,24.8923802,54.9360609,,TRUE,"['Monday: 5:00AM-2:00AM', 'Tuesday: 5:00AM-2:00AM', 'Wednesday: 5:00AM-2:00AM', 'Thursday: 5:00AM-2:00AM', 'Friday: 5:00AM-2:00AM', 'Saturday: 5:00AM-2:00AM', 'Sunday: 5:00AM-2:00AM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230002_9.jpg']]"
Oasis Taweelah Kezad,QPH5+FX9 - Al Ma'mourah - Khalifa Industrial Zone - Abu Dhabi - United Arab Emirates,OPERATIONAL,restaurant,+971 2 562 7756,5,ChIJlfJTT7j-Xj4Rom2EFzs3XBE,3.7,https://search.google.com/local/reviews?placeid=ChIJlfJTT7j-Xj4Rom2EFzs3XBE,https://maps.google.com/?cid=1250935523439308194,24.7786616,54.7099889,,TRUE,"['Monday: 7:00AM-11:00PM', 'Tuesday: 7:00AM-11:00PM', 'Wednesday: 7:00AM-11:00PM', 'Thursday: 7:00AM-11:00PM', 'Friday: 7:00AM-9:00PM', 'Saturday: 7:00AM-11:00PM', 'Sunday: 7:00AM-11:00PM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230006_9.jpg']]"
Kinara by Vikas Khanna,Exit 13 JA Lake View Hotel - ??? ??? - ????? ??? ??? ????? - ??? - United Arab Emirates,OPERATIONAL,restaurant,+971 4 814 5555,5,ChIJE28kQr4RXz4Rgk1MiM0CdPE,4.5,https://search.google.com/local/reviews?placeid=ChIJE28kQr4RXz4Rgk1MiM0CdPE,https://maps.google.com/?cid=17398534342217321858,24.9810132,55.0266481,https://www.kinaradubai.com/,TRUE,"['Monday: 6:00-11:00PM', 'Tuesday: 6:00-11:00PM', 'Wednesday: Closed', 'Thursday: 6:00-11:00PM', 'Friday: 6:00-11:00PM', 'Saturday: 6:00-11:00PM', 'Sunday: 6:00-11:00PM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230011_9.jpg']]"
Ossiano,Crescent Rd - The Palm Jumeirah - Dubai - United Arab Emirates,OPERATIONAL,restaurant,+971 4 426 0770,5,ChIJWZ-dSD4VXz4RZLBaXNzgUuk,4.5,https://search.google.com/local/reviews?placeid=ChIJWZ-dSD4VXz4RZLBaXNzgUuk,https://maps.google.com/?cid=16812747595974357092,25.131246,55.1175734,https://www.atlantis.com/dubai/dining/ossiano?utm_source=googleplaces&utm_medium=location&utm_campaign=ossiano&utm_content=listing,TRUE,"['Monday: 6:00PM-1:00AM', 'Tuesday: 6:00PM-1:00AM', 'Wednesday: 6:00PM-1:00AM', 'Thursday: 6:00PM-1:00AM', 'Friday: 6:00PM-1:00AM', 'Saturday: 6:00PM-1:00AM', 'Sunday: 6:00PM-1:00AM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230016_9.jpg']]"
Al Shorfa Restaurant & Cafe,"Trident Grand Residence Tower, Opp. Le Royal Meridien Hotel - JBR - Dubai Marina - Dubai - United Arab Emirates",OPERATIONAL,restaurant,+971 4 452 5254,5,ChIJm3RZZhdDXz4RbHh1LUkjHCI,4.2,https://search.google.com/local/reviews?placeid=ChIJm3RZZhdDXz4RbHh1LUkjHCI,https://maps.google.com/?cid=2457878293839706220,25.0833176,55.140882,http://www.alshorfadubai.ae/,TRUE,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230020_9.jpg']]"
"Abd El Wahab, Dubai Marina","5th Floor,Pier 7 Building,Dubai Marina Mall - ??? ?????? - ??? - United Arab Emirates",OPERATIONAL,restaurant,+971 4 432 5772,5,ChIJB_m1xqpsXz4RExmW4VDiOyY,4.3,https://search.google.com/local/reviews?placeid=ChIJB_m1xqpsXz4RExmW4VDiOyY,https://maps.google.com/?cid=2755044434077161747,25.0762263,55.1387823,http://www.hhh-me.com/,TRUE,"['Monday: 12:00PM-12:00AM', 'Tuesday: 12:00PM-12:00AM', 'Wednesday: 12:00PM-12:00AM', 'Thursday: 12:00PM-12:00AM', 'Friday: 12:00PM-12:00AM', 'Saturday: 12:00PM-12:00AM', 'Sunday: 12:00PM-12:00AM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230025_9.jpg']]"
Lokmet Gibran,Oaks Liwa Hotel - G Level - Cluster W - Jumeirah Lake Towers - Dubai - United Arab Emirates,OPERATIONAL,restaurant,+971 800 117,5,ChIJVVWVRaZsXz4Rir-tCWW_W-0,4.1,https://search.google.com/local/reviews?placeid=ChIJVVWVRaZsXz4Rir-tCWW_W-0,https://maps.google.com/?cid=17103474450544574346,25.0774219,55.1502896,https://instagram.com/lokmetgibran?igshid=NmNmNjAwNzg=,TRUE,"['Monday: 8:00AM-2:00AM', 'Tuesday: 8:00AM-2:00AM', 'Wednesday: 8:00AM-2:00AM', 'Thursday: 8:00AM-2:00AM', 'Friday: 8:00AM-2:00AM', 'Saturday: 8:00AM-2:00AM', 'Sunday: 8:00AM-2:00AM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230030_9.jpg']]"
Ibn AlBahr Seafood Restaurant,Club Vista Mare (Palm Jumeriah - ???? ????? - ??? - United Arab Emirates,OPERATIONAL,restaurant,+971 54 469 0075,5,ChIJjeQxxIrQXT4RxnrrChED7JY,4.3,https://search.google.com/local/reviews?placeid=ChIJjeQxxIrQXT4RxnrrChED7JY,https://maps.google.com/?cid=10875070571925437126,25.1152563,55.1426094,https://www.ibnalbahr.me/,TRUE,"['Monday: 8:30AM-1:30AM', 'Tuesday: 8:30AM-1:30AM', 'Wednesday: 8:30AM-1:30AM', 'Thursday: 8:30AM-1:30AM', 'Friday: 8:30AM-1:30AM', 'Saturday: 8:30AM-1:30AM', 'Sunday: 8:30AM-1:30AM']",https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/bag.png,"[['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_0.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_1.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_2.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_3.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_4.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_5.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_6.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_7.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_8.jpg'], ['https://hubur-media.s3.ap-southeast-1.amazonaws.com/media/business_images/03230035_9.jpg']]"
